Elongation,? (MPa)
1,0
1.007,0.004282
1.011,0.005097
1.018,0.006481
1.022,0.007143
1.029,0.008752
1.035,0.009634
1.04,0.011045
1.046,0.011905
1.053,0.011905
1.057,0.016667
1.064,0.007143
1.07,0.016667
1.077,0.016667
1.081,0.019048
1.088,0.011905
1.095,0.02619
1.099,0.021429
1.106,0.014286
1.112,0.016667
1.117,0.028571
1.123,0.038095
1.13,0.028571
1.134,0.045238
1.138,0.047619
1.141,0.045238
1.151,0.05
1.158,0.054762
1.165,0.059524
1.169,0.064286
1.176,0.071429
1.182,0.071429
1.187,0.102381
1.191,0.107143
1.198,0.107143
1.204,0.109524
1.213,0.119048
1.217,0.128571
1.222,0.142857
1.228,0.145238
1.233,0.154762
1.239,0.164286
1.246,0.183333
1.252,0.190476
1.257,0.207143
1.263,0.209524
1.268,0.22619
1.274,0.238095
1.281,0.242857
1.287,0.264286
1.292,0.27619
1.298,0.288095
1.305,0.304762
1.309,0.321429
1.316,0.335714
1.323,0.364286
1.327,0.366667
1.331,0.392857
1.338,0.402381
1.347,0.435714
1.351,0.435714
1.358,0.459524
1.362,0.469048
1.369,0.490476
1.373,0.497619
1.38,0.509432
1.384,0.531128
1.393,0.56761
1.397,0.571429
1.401,0.57619
1.408,0.590476
1.414,0.611905
1.421,0.62381
1.428,0.633333
1.432,0.65
1.438,0.661905
1.443,0.669048
1.449,0.685714
1.456,0.697619
1.462,0.707143
1.467,0.714286
1.473,0.72381
1.478,0.728571
1.484,0.733333
1.491,0.742857
1.495,0.742857
1.502,0.757143
1.508,0.764286
1.515,0.769048
1.519,0.780952
1.523,0.792857
1.53,0.8
1.537,0.807143
1.543,0.816667
1.547,0.82381
1.554,0.833333
1.558,0.838095
1.565,0.847619
1.571,0.85
1.576,0.857143
1.582,0.857143
1.589,0.852381
1.593,0.859524
1.6,0.869048
1.604,0.864286
1.606,0.871429
